Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,20927.960938,21328.339844,20918.109375,21271.169922,21271.169922,87200000
2020-05-27,21249.310547,21475.679688,21142.720703,21419.230469,21419.230469,112000000
2020-05-28,21612.900391,21926.289063,21580.500000,21916.310547,21916.310547,134000000
2020-05-29,21807.630859,21955.439453,21710.800781,21877.890625,21877.890625,153200000
2020-06-01,21910.890625,22161.390625,21898.990234,22062.390625,22062.390625,72200000
2020-06-02,22175.519531,22401.789063,22118.400391,22325.609375,22325.609375,77900000
2020-06-03,22649.009766,22818.869141,22462.679688,22613.759766,22613.759766,94100000
2020-06-04,22885.140625,22907.919922,22501.810547,22695.740234,22695.740234,92000000
2020-06-05,22613.080078,22865.880859,22563.560547,22863.730469,22863.730469,85600000
2020-06-08,23121.980469,23178.099609,23028.619141,23178.099609,23178.099609,108500000
2020-06-09,23135.789063,23185.849609,22933.140625,23091.029297,23091.029297,91500000
2020-06-10,22939.000000,23175.820313,22900.300781,23124.949219,23124.949219,75600000
2020-06-11,22848.019531,22939.390625,22466.539063,22472.910156,22472.910156,105900000
2020-06-12,22082.119141,22350.300781,21786.929688,22305.480469,22305.480469,120500000
2020-06-15,22135.269531,22251.830078,21529.830078,21530.949219,21530.949219,78500000
2020-06-16,21912.289063,22624.140625,21899.480469,22582.210938,22582.210938,100100000
2020-06-17,22517.140625,22536.380859,22318.070313,22455.759766,22455.759766,72500000
2020-06-18,22363.880859,22432.250000,22125.349609,22355.460938,22355.460938,65200000
2020-06-19,22515.750000,22523.660156,22352.160156,22478.789063,22478.789063,97000000
2020-06-22,22353.689453,22575.740234,22311.939453,22437.269531,22437.269531,54600000
2020-06-23,22636.060547,22693.890625,22257.140625,22549.050781,22549.050781,0
2020-06-24,22541.009766,22663.289063,22479.859375,22534.320313,22534.320313,67000000
2020-06-25,22287.869141,22423.410156,22165.140625,22259.789063,22259.789063,80800000
2020-06-26,22424.369141,22589.140625,22408.269531,22512.080078,22512.080078,66600000
2020-06-29,22255.050781,22281.380859,21969.589844,21995.039063,21995.039063,73700000
2020-06-30,22335.099609,22448.300781,22273.380859,22288.140625,22288.140625,74200000
2020-07-01,22338.300781,22360.310547,22039.560547,22121.730469,22121.730469,67400000
2020-07-02,22182.679688,22267.509766,22072.109375,22145.960938,22145.960938,73600000
2020-07-03,22266.910156,22312.439453,22154.970703,22306.480469,22306.480469,51700000
2020-07-06,22341.269531,22734.109375,22325.750000,22714.439453,22714.439453,58000000
2020-07-07,22649.900391,22742.279297,22540.439453,22614.689453,22614.689453,62700000
2020-07-08,22481.609375,22667.949219,22438.650391,22438.650391,22438.650391,64900000
2020-07-09,22442.300781,22679.080078,22434.380859,22529.289063,22529.289063,65200000
2020-07-10,22534.970703,22563.679688,22285.070313,22290.810547,22290.810547,78800000
2020-07-13,22591.810547,22784.740234,22561.470703,22784.740234,22784.740234,71200000
2020-07-14,22631.869141,22677.019531,22538.779297,22587.009766,22587.009766,61000000
2020-07-15,22817.910156,22965.560547,22800.109375,22945.500000,22945.500000,72600000
2020-07-16,22907.960938,22925.900391,22739.419922,22770.359375,22770.359375,89400000
2020-07-17,22807.570313,22857.820313,22643.519531,22696.419922,22696.419922,55900000
2020-07-20,22772.070313,22788.529297,22580.189453,22717.480469,22717.480469,50000000
2020-07-21,22789.380859,22925.580078,22780.220703,22884.220703,22884.220703,68600000
2020-07-22,22791.750000,22855.310547,22732.919922,22751.609375,22751.609375,65400000
2020-07-27,22495.949219,22741.130859,22429.570313,22715.849609,22715.849609,71800000
2020-07-28,22735.019531,22842.189453,22646.220703,22657.380859,22657.380859,67800000
2020-07-29,22543.890625,22584.869141,22366.339844,22397.109375,22397.109375,74300000
2020-07-30,22489.240234,22506.599609,22334.710938,22339.230469,22339.230469,77800000
2020-07-31,22267.589844,22295.050781,21710.000000,21710.000000,21710.000000,106600000
2020-08-03,21947.580078,22214.589844,21919.830078,22195.380859,22195.380859,84000000
2020-08-04,22379.740234,22603.820313,22379.740234,22573.660156,22573.660156,89100000
2020-08-05,22479.720703,22554.199219,22356.250000,22514.849609,22514.849609,74000000
2020-08-06,22471.710938,22587.750000,22362.890625,22418.150391,22418.150391,62600000
2020-08-07,22433.779297,22436.160156,22204.609375,22329.939453,22329.939453,66700000
2020-08-11,22505.509766,22760.869141,22497.070313,22750.240234,22750.240234,99300000
